sku,target_acos,price
7R-1FCN-IMB8,0.2,17.99
balloon-macaron,0.2,10.99
6W-53CG-99ZL,0.2,17.99
Dogs toy - Toothbrush Stick Bone,0.2,15.99
XV-YMIA-1LE7,0.2,16.99
54-N02A-9FKZ,0.2,16.99
NY-MHXI-54LO,0.2,24.99
V1-UFTA-WEVU,0.2,16.99
"Succulent pots-plastic-3inch,6 pcs",0.2,11.99
ring - silicone - black,0.2,11.99
"famsk - black, white",0.2,9.99
"Succulent pots-plastic-4inch,4pcs",0.2,11.99
sticker004,0.2,9.99
EL-GVN9-GSUY,0.2,22.99
3S-6Y2F-UCAT,0.2,9.99
sticker002,0.2,10.99
JX-Z1VQ-M5DN,0.2,11.99
sticker003,0.2,11.99
Santa hat,0.2,7.99
sticker001,0.2,9.99
